Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls   s/call   s/call  name    
 32.92     21.16    21.16        1    21.16    62.62  Solver::poisson3DSOR_gen()
 30.25     40.61    19.45 214229760     0.00     0.00  Solver::normal(unsigned long, double*)
  4.31     43.38     2.77 218743640     0.00     0.00  std::_Bit_reference::operator bool() const
  3.73     45.78     2.40 219684832     0.00     0.00  std::vector<bool, std::allocator<bool> >::operator[](unsigned long)
  3.62     48.11     2.33  4513880     0.00     0.00  Solver::get_a(std::vector<double, std::allocator<double> >*, std::vector<double, std::allocator<double> >&, int const&)
  3.50     50.37     2.25 219684832     0.00     0.00  std::_Bit_iterator::operator*() const
  3.49     52.61     2.25 438163542     0.00     0.00  std::vector<double, std::allocator<double> >::operator[](unsigned long)
  3.02     54.55     1.94 219684832     0.00     0.00  std::_Bit_reference::_Bit_reference(unsigned long*, unsigned long)
  2.88     56.40     1.85 221567219     0.00     0.00  std::_Bit_iterator_base::_Bit_iterator_base(unsigned long*, unsigned int)
  2.12     57.76     1.36 219684833     0.00     0.00  std::_Bit_iterator::_Bit_iterator(unsigned long*, unsigned int)
  1.81     58.93     1.17        2     0.58     0.59  std::vector<double, std::allocator<double> >::resize(unsigned long)
  1.03     59.59     0.66 13819880     0.00     0.00  Solver::calc_Neumann(int, int, int, int)
  0.99     60.22     0.64  4513880     0.00     0.00  Solver::normal_eps(unsigned long, double*, std::vector<double, std::allocator<double> >)
  0.59     60.60     0.38 221567219     0.00     0.00  std::iterator<std::random_access_iterator_tag, bool, long, bool*, bool&>::iterator()
  0.50     60.92     0.32 31597160     0.00     0.00  std::vector<double, std::allocator<double> >::_M_range_check(unsigned long) const
  0.50     61.24     0.32 36111054     0.00     0.00  std::vector<double, std::allocator<double> >::size() const
  0.45     61.53     0.29   941192     0.00     0.00  std::_Bit_reference::operator=(bool)
  0.44     61.82     0.29 31597160     0.00     0.00  std::vector<double, std::allocator<double> >::at(unsigned long)
