Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls   s/call   s/call  name    
 39.12     23.19    23.19 214229760     0.00     0.00  Solver::normal(unsigned long, double*)
 22.13     36.32    13.12        1    13.12    58.35  Solver::poisson3DSOR_gen()
  5.45     39.55     3.23 218743640     0.00     0.00  std::_Bit_reference::operator bool() const
  5.14     42.59     3.05 219684832     0.00     0.00  std::_Bit_iterator::operator*() const
  4.59     45.31     2.72 219684832     0.00     0.00  std::_Bit_reference::_Bit_reference(unsigned long*, unsigned long)
  3.89     47.62     2.31 219684833     0.00     0.00  std::_Bit_iterator::_Bit_iterator(unsigned long*, unsigned int)
  3.86     49.91     2.29 221567219     0.00     0.00  std::_Bit_iterator_base::_Bit_iterator_base(unsigned long*, unsigned int)
  3.75     52.14     2.23  4513880     0.00     0.00  Solver::get_a(double*, std::vector<double, std::allocator<double> >&, int const&)
  3.07     53.96     1.82 370949016     0.00     0.00  std::vector<double, std::allocator<double> >::operator[](unsigned long)
  2.24     55.29     1.33 219684832     0.00     0.00  std::vector<bool, std::allocator<bool> >::operator[](unsigned long)
  1.21     56.00     0.72 13819880     0.00     0.00  Solver::calc_Neumann(int, int, int, int)
  1.00     56.59     0.59        1     0.59     0.60  std::vector<double, std::allocator<double> >::resize(unsigned long)
  0.94     57.15     0.56  4513880     0.00     0.00  Solver::normal_eps(unsigned long, double*, double*)
  0.88     57.67     0.52 221567219     0.00     0.00  std::iterator<std::random_access_iterator_tag, bool, long, bool*, bool&>::iterator()
  0.42     57.92     0.25        2     0.13     0.13  std::_Bit_iterator::_Bit_iterator()
  0.36     58.14     0.22        1     0.22     0.22  std::vector<bool, std::allocator<bool> >::~vector()
  0.30     58.32     0.18   941192     0.00     0.00  std::_Bit_reference::operator=(bool)
  0.30     58.50     0.18        1     0.18     0.18  _GLOBAL__sub_I__ZN6Solver7set_valEiii
  0.27     58.66     0.16        1     0.16     0.59  Solver::check_eps(std::vector<double, std::allocator<double> >&, std::vector<bool, std::allocator<bool> >*)
  0.23     58.79     0.14        2     0.07     0.07  std::_Niter_base<unsigned long*>::iterator_type std::__niter_base<unsigned long*>(unsigned long*)
  0.17     58.89     0.10   812160     0.00     0.00  Solver::ohmic_contact(unsigned long)
  0.13     58.97     0.08        1     0.08     0.08  Solver::check_branch1(bool*)
  0.07     59.01     0.04        1     0.04     0.65  Solver::init_eps()
  0.05     59.04     0.03  1882384     0.00     0.00  std::_Bit_const_iterator::_Bit_const_iterator(std::_Bit_iterator const&)
  0.05     59.07     0.03   941192     0.00     0.00  std::vector<bool, std::allocator<bool> >::size() const
  0.05     59.10     0.03        2     0.02     0.02  Solver::init_val(double, double*)
  0.05     59.13     0.03        1     0.03     0.03  Solver::check_branch0(bool*)
  0.05     59.16     0.03        1     0.03     0.03  Solver::init_rho()
  0.05     59.19     0.03        1     0.03     0.04  Solver::init_val(double, std::pair<double, double>*)
  0.03     59.20     0.02   941192     0.00     0.00  std::vector<bool, std::allocator<bool> >::_M_range_check(unsigned long) const
  0.02     59.21     0.01  1000000     0.00     0.00  std::pair<double, double>::pair()
  0.02     59.22     0.01   941192     0.00     0.00  std::vector<bool, std::allocator<bool> >::end() const
  0.02     59.23     0.01   941192     0.00     0.00  std::vector<bool, std::allocator<bool> >::begin() const
  0.02     59.24     0.01   941192     0.00     0.00  std::vector<bool, std::allocator<bool> >::at(unsigned long)
  0.02     59.25     0.01   941192     0.00     0.00  std::operator-(std::_Bit_iterator_base const&, std::_Bit_iterator_base const&)
  0.02     59.26     0.01    40000     0.00     0.00  std::vector<double, std::allocator<double> >::operator[](unsigned long) const
  0.02     59.27     0.01        1     0.01     0.01  Solver::set_BCs(double, double, double, double, double, double)
  0.02     59.28     0.01        1     0.01     0.01  std::_Bit_iterator::operator+(long) const
